,period,location,player,pass,x_start,y_start,x_end,y_end,id,recipient_name,0,recipient,length,angle,height,end_location,type,body_part,outcome,aerial_won,deflected,outswinging,technique,switch,cross,assisted_shot_id,goal_assist,through_ball,inswinging,shot_assist,no_touch,miscommunication,cut_back
186,1,"[104.8, 12.7]",Luke Shaw,"{'recipient': {'id': 3308, 'name': 'Kieran Trippier'}, 'length': 61.267445, 'angle': 1.4612206, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [111.5, 73.6], 'cross': True, 'switch': True, 'outcome': {'id': 9, 'name': 'Incomplete'}, 'body_part': {'id': 40, 'name': 'Right Foot'}}",104.8,12.7,111.5,73.6,3308.0,Kieran Trippier,,"{'id': 3308, 'name': 'Kieran Trippier'}",61.267445,1.4612206,"{'id': 3, 'name': 'High Pass'}","[111.5, 73.6]",,"{'id': 40, 'name': 'Right Foot'}","{'id': 9, 'name': 'Incomplete'}",,,,,True,True,,,,,,,,
187,1,"[8.6, 6.5]",Lorenzo Insigne,"{'recipient': {'id': 4355, 'name': 'Emerson Palmieri dos Santos'}, 'length': 10.93435, 'angle': 2.2655346, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [1.6, 14.9], 'type': {'id': 66, 'name': 'Recovery'}, 'body_part': {'id': 40, 'name': 'Right Foot'}}",8.6,6.5,1.6,14.9,4355.0,Emerson Palmieri dos Santos,,"{'id': 4355, 'name': 'Emerson Palmieri dos Santos'}",10.93435,2.2655346,"{'id': 1, 'name': 'Ground Pass'}","[1.6, 14.9]","{'id': 66, 'name': 'Recovery'}","{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
188,1,"[1.6, 14.9]",Emerson Palmieri dos Santos,"{'length': 22.165062, 'angle': -0.73113835, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [18.1, 0.1], 'outcome': {'id': 75, 'name': 'Out'}, 'body_part': {'id': 38, 'name': 'Left Foot'}}",1.6,14.9,18.1,0.1,,,,,22.165062,-0.73113835,"{'id': 3, 'name': 'High Pass'}","[18.1, 0.1]",,"{'id': 38, 'name': 'Left Foot'}","{'id': 75, 'name': 'Out'}",,,,,,,,,,,,,,
189,1,"[95.3, 80.0]",Kieran Trippier,"{'recipient': {'id': 3943, 'name': 'Declan Rice'}, 'length': 40.142868, 'angle': -2.20234, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [71.6, 47.6], 'type': {'id': 67, 'name': 'Throw-in'}}",95.3,80.0,71.6,47.6,3943.0,Declan Rice,,"{'id': 3943, 'name': 'Declan Rice'}",40.142868,-2.20234,"{'id': 3, 'name': 'High Pass'}","[71.6, 47.6]","{'id': 67, 'name': 'Throw-in'}",,,,,,,,,,,,,,,,
190,1,"[71.4, 39.7]",Declan Rice,"{'recipient': {'id': 3336, 'name': 'Harry Maguire'}, 'length': 25.088842, 'angle': -1.3945079, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [75.8, 15.0], 'body_part': {'id': 40, 'name': 'Right Foot'}}",71.4,39.7,75.8,15.0,3336.0,Harry Maguire,,"{'id': 3336, 'name': 'Harry Maguire'}",25.088842,-1.3945079,"{'id': 1, 'name': 'Ground Pass'}","[75.8, 15.0]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
191,1,"[75.8, 15.0]",Harry Maguire,"{'recipient': {'id': 3382, 'name': 'Luke Shaw'}, 'length': 15.34438, 'angle': -0.7900064, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [86.6, 4.1], 'body_part': {'id': 40, 'name': 'Right Foot'}}",75.8,15.0,86.6,4.1,3382.0,Luke Shaw,,"{'id': 3382, 'name': 'Luke Shaw'}",15.34438,-0.7900064,"{'id': 1, 'name': 'Ground Pass'}","[86.6, 4.1]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
192,1,"[84.5, 2.2]",Luke Shaw,"{'recipient': {'id': 3336, 'name': 'Harry Maguire'}, 'length': 15.100993, 'angle': 2.9415996, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [69.7, 5.2], 'body_part': {'id': 38, 'name': 'Left Foot'}}",84.5,2.2,69.7,5.2,3336.0,Harry Maguire,,"{'id': 3336, 'name': 'Harry Maguire'}",15.100993,2.9415996,"{'id': 1, 'name': 'Ground Pass'}","[69.7, 5.2]",,"{'id': 38, 'name': 'Left Foot'}",,,,,,,,,,,,,,,
193,1,"[54.6, 8.5]",Harry Maguire,"{'recipient': {'id': 3468, 'name': 'Jordan Pickford'}, 'length': 47.336773, 'angle': 2.4714706, 'height': {'id': 1, 'name': 'Ground Pass'}, 'end_location': [17.5, 37.9], 'body_part': {'id': 40, 'name': 'Right Foot'}}",54.6,8.5,17.5,37.9,3468.0,Jordan Pickford,,"{'id': 3468, 'name': 'Jordan Pickford'}",47.336773,2.4714706,"{'id': 1, 'name': 'Ground Pass'}","[17.5, 37.9]",,"{'id': 40, 'name': 'Right Foot'}",,,,,,,,,,,,,,,
194,1,"[23.7, 35.3]",Jordan Pickford,"{'recipient': {'id': 3308, 'name': 'Kieran Trippier'}, 'length': 76.758385, 'angle': 0.6216125, 'height': {'id': 3, 'name': 'High Pass'}, 'end_location': [86.1, 80.0], 'switch': True, 'outcome': {'id': 75, 'name': 'Out'}, 'body_part': {'id': 38, 'name': 'Left Foot'}}",23.7,35.3,86.1,80.0,3308.0,Kieran Trippier,,"{'id': 3308, 'name': 'Kieran Trippier'}",76.758385,0.6216125,"{'id': 3, 'name': 'High Pass'}","[86.1, 80.0]",,"{'id': 38, 'name': 'Left Foot'}","{'id': 75, 'name': 'Out'}",,,,,True,,,,,,,,,
195,1,"[36.0, 0.1]",Emerson Palmieri dos Santos,"{'recipient': {'id': 8181, 'name': 'Nicolò Barella'}, 'length': 6.040695, 'angle': 1.4546547, 'height': {'id': 2, 'name': 'Low Pass'}, 'end_location': [36.7, 6.1], 'type': {'id': 67, 'name': 'Throw-in'}}",36.0,0.1,36.7,6.1,8181.0,Nicolò Barella,,"{'id': 8181, 'name': 'Nicolò Barella'}",6.040695,1.4546547,"{'id': 2, 'name': 'Low Pass'}","[36.7, 6.1]","{'id': 67, 'name': 'Throw-in'}",,,,,,,,,,,,,,,,
